40.36,218.28,4367.51,15.63,49922.61
40.48,219.01,4393.76,15.64,49883.60
40.58,219.61,4415.69,15.64,49851.10
40.70,220.33,4442.10,15.65,49812.09
40.80,220.94,4464.17,15.65,49779.59
40.92,221.66,4490.73,15.66,49740.59
41.04,222.39,4517.38,15.67,49701.58
41.14,223.00,4539.66,15.67,49669.08
41.26,223.72,4566.47,15.68,49630.07
41.36,224.33,4588.88,15.69,49597.57
41.48,225.06,4615.85,15.69,49558.57
41.60,225.79,4642.91,15.70,49519.56
41.72,226.53,4670.06,15.71,49480.56
41.82,227.14,4692.75,15.72,49448.05
41.94,227.87,4720.06,15.72,49409.05
42.06,228.61,4747.45,15.73,49370.05
42.18,229.34,4774.94,15.74,49331.04
42.30,230.08,4802.51,15.75,49292.04
42.40,230.70,4825.56,15.75,49259.54
42.50,231.31,4848.67,15.76,49227.03
42.62,232.05,4876.48,15.77,49188.03
42.74,232.79,4904.38,15.78,49149.02
42.84,233.41,4927.69,15.78,49116.52
42.96,234.16,4955.76,15.79,49077.52
43.10,235.02,4988.61,15.80,49032.01
43.20,235.65,5012.15,15.81,48999.51
43.32,236.39,5040.48,15.81,48960.50
43.44,237.14,5068.90,15.82,48921.50
43.54,237.76,5092.65,15.83,48889.00
43.66,238.51,5121.24,15.84,48849.99
43.78,239.27,5149.91,15.85,48810.99
43.88,239.89,5173.88,15.85,48778.48
44.02,240.77,5207.53,15.86,48732.98
44.14,241.53,5236.48,15.87,48693.97
44.24,242.16,5260.67,15.88,48661.47
44.36,242.91,5289.78,15.89,48622.46
44.48,243.67,5318.99,15.90,48583.46
44.60,244.43,5348.28,15.91,48544.46
44.72,245.19,5377.67,15.92,48505.45
44.84,245.95,5407.14,15.93,48466.45
44.96,246.71,5436.71,15.94,48427.45
45.06,247.35,5461.42,15.94,48394.94
45.16,247.99,5486.19,15.95,48362.44
45.28,248.75,5516.01,15.96,48323.43
45.38,249.39,5540.92,15.97,48290.93
45.50,250.16,5570.90,15.98,48251.93
45.62,250.93,5600.98,15.99,48212.92
45.74,251.70,5631.15,16.00,48173.92
45.86,252.48,5661.40,16.01,48134.91
45.96,253.12,5686.69,16.01,48102.41
46.08,253.89,5717.12,16.02,48063.41
46.20,254.67,5747.64,16.03,48024.40
46.32,255.45,5778.26,16.04,47985.40
46.42,256.10,5803.84,16.05,47952.90
46.54,256.88,5834.63,16.06,47913.89
46.64,257.53,5860.36,16.07,47881.39
46.76,258.31,5891.32,16.08,47842.39
46.88,259.09,5922.37,16.09,47803.38
47.00,259.88,5953.52,16.10,47764.38
47.10,260.53,5979.54,16.11,47731.88
47.22,261.32,6010.86,16.12,47692.87
47.34,262.11,6042.28,16.13,47653.86
47.46,262.90,6073.79,16.14,47614.86
47.58,263.69,6105.39,16.16,47575.86
47.70,264.49,6137.09,16.17,47536.85
47.82,265.28,6168.89,16.18,47497.85
47.94,266.08,6200.78,16.19,47458.84
48.04,266.74,6227.43,16.20,47426.34
48.16,267.54,6259.49,16.21,47387.34
48.28,268.34,6291.65,16.22,47348.33
48.40,269.15,6323.91,16.23,47309.33
48.52,269.95,6356.27,16.24,47270.32
48.64,270.76,6388.72,16.26,47231.32
48.74,271.43,6415.83,16.27,47198.82
48.86,272.24,6448.46,16.28,47159.81
48.98,273.04,6481.19,16.28,47120.80
49.10,273.85,6514.01,16.29,47081.80
49.22,274.66,6546.93,16.29,47042.80
